System,All,IV,OOV
lattice-morph_+_lattice-word_CombSUM.xml,0.396,0.473,0.094
attice-morph_+_lattice-word_CombSUM-STO.xml,0.537,0.582,0.366
lattice-morph_+_lattice-word_CombMNZ.xml,0.393,0.475,0.077
attice-morph_+_lattice-word_CombMNZ-STO.xml,0.535,0.578,0.366
lattice-morph_+_lattice-word_WCombMNZ.xml,0.394,0.471,0.093
attice-morph_+_lattice-word_WCombMNZ-STO.xml,0.535,0.579,0.366
STO-lattice-morph_+_STO-lattice-word_CombSUM.xml,0.545,0.590,0.372
STO-lattice-morph_+_STO-lattice-word_CombSUM-STO.xml,0.542,0.589,0.359
STO-lattice-morph_+_STO-lattice-word_CombMNZ.xml,0.538,0.582,0.366
STO-lattice-morph_+_STO-lattice-word_CombMNZ-STO.xml,0.534,0.579,0.360
STO-lattice-morph_+_STO-lattice-word_WCombMNZ.xml,0.545,0.589,0.372
STO-lattice-morph_+_STO-lattice-word_WCombMNZ-STO.xml,0.537,0.583,0.359
lattice-morph_+_lattice-word-sys2_CombSUM.xml,0.403,0.484,0.091
attice-morph_+_lattice-word-sys2_CombSUM-STO.xml,0.544,0.589,0.368
lattice-morph_+_lattice-word-sys2_CombMNZ.xml,0.406,0.486,0.093
attice-morph_+_lattice-word-sys2_CombMNZ-STO.xml,0.549,0.597,0.365
lattice-morph_+_lattice-word-sys2_WCombMNZ.xml,0.405,0.485,0.091
attice-morph_+_lattice-word-sys2_WCombMNZ-STO.xml,0.544,0.591,0.363
STO-lattice-morph_+_STO-lattice-word-sys2_CombSUM.xml,0.549,0.597,0.365
STO-lattice-morph_+_STO-lattice-word-sys2_CombSUM-STO.xml,0.548,0.595,0.368
STO-lattice-morph_+_STO-lattice-word-sys2_CombMNZ.xml,0.548,0.594,0.366
STO-lattice-morph_+_STO-lattice-word-sys2_CombMNZ-STO.xml,0.547,0.596,0.361
STO-lattice-morph_+_STO-lattice-word-sys2_WCombMNZ.xml,0.549,0.597,0.364
STO-lattice-morph_+_STO-lattice-word-sys2_WCombMNZ-STO.xml,0.548,0.595,0.364
lattice-word_+_lattice-morph_+_lattice-word-sys2_CombSUM.xml,0.411,0.495,0.086
attice-word_+_lattice-morph_+_lattice-word-sys2_CombSUM-STO.xml,0.547,0.593,0.369
lattice-word_+_lattice-morph_+_lattice-word-sys2_CombMNZ.xml,0.411,0.497,0.077
attice-word_+_lattice-morph_+_lattice-word-sys2_CombMNZ-STO.xml,0.553,0.602,0.365
lattice-word_+_lattice-morph_+_lattice-word-sys2_WCombMNZ.xml,0.412,0.496,0.087
attice-word_+_lattice-morph_+_lattice-word-sys2_WCombMNZ-STO.xml,0.553,0.602,0.363
STO-lattice-word_+_STO-lattice-morph_+_STO-lattice-word-sys2_CombSUM.xml,0.553,0.601,0.366
STO-lattice-word_+_STO-lattice-morph_+_STO-lattice-word-sys2_CombSUM-STO.xml,0.553,0.601,0.364
STO-lattice-word_+_STO-lattice-morph_+_STO-lattice-word-sys2_CombMNZ.xml,0.550,0.601,0.351
STO-lattice-word_+_STO-lattice-morph_+_STO-lattice-word-sys2_CombMNZ-STO.xml,0.552,0.601,0.365
STO-lattice-word_+_STO-lattice-morph_+_STO-lattice-word-sys2_WCombMNZ.xml,0.553,0.601,0.365
STO-lattice-word_+_STO-lattice-morph_+_STO-lattice-word-sys2_WCombMNZ-STO.xml,0.552,0.601,0.362
